"package","time","milli.time"
"baRcodeR",52649409000,52649.409
"baRcodeR",55820024500,55820.0245
"baRcodeR",56432087600,56432.0876
"qrlabelr",1264035300,1264.0353
"qrlabelr",1108521800,1108.5218
"qrlabelr",1016392400,1016.3924
"baRcodeR",55989913900,55989.9139
"qrlabelr",877398600,877.3986
"baRcodeR",82370942000,82370.942
"baRcodeR",69113310600,69113.3106
"qrlabelr",1148241600,1148.2416
"baRcodeR",68635491200,68635.4912
"qrlabelr",1154053100,1154.0531
"baRcodeR",67552949200,67552.9492
"qrlabelr",1058966800,1058.9668
"qrlabelr",1135342100,1135.3421
"qrlabelr",1127563600,1127.5636
"baRcodeR",67927468300,67927.4683
"baRcodeR",67423562100,67423.5621
"qrlabelr",1129652200,1129.6522
"baRcodeR",66545482300,66545.4823
"baRcodeR",66418981100,66418.9811
"qrlabelr",1275554700,1275.5547
"baRcodeR",67910150100,67910.1501
"qrlabelr",1138245600,1138.2456
"qrlabelr",1085628000,1085.628
"qrlabelr",1122611200,1122.6112
"baRcodeR",68219856200,68219.8562
"baRcodeR",68776087100,68776.0871
"baRcodeR",67078515100,67078.5151
"qrlabelr",1194267100,1194.2671
"baRcodeR",67631505400,67631.5054
"baRcodeR",66053375900,66053.3759
"baRcodeR",66136504700,66136.5047
"qrlabelr",1136837700,1136.8377
"baRcodeR",65762372200,65762.3722
"baRcodeR",64973974900,64973.9749
"baRcodeR",65388478500,65388.4785
"qrlabelr",1113559200,1113.5592
"qrlabelr",1138449600,1138.4496
"qrlabelr",1045643200,1045.6432
"qrlabelr",1191512000,1191.512
"qrlabelr",1074021100,1074.0211
"baRcodeR",65284709600,65284.7096
"qrlabelr",1035400100,1035.4001
"baRcodeR",65212794300,65212.7943
"baRcodeR",64944257800,64944.2578
"qrlabelr",1032852900,1032.8529
"baRcodeR",65044770100,65044.7701
"baRcodeR",66556879600,66556.8796
"qrlabelr",1148453100,1148.4531
"baRcodeR",65144589300,65144.5893
"baRcodeR",68867887500,68867.8875
"baRcodeR",67761939300,67761.9393
"qrlabelr",1036116700,1036.1167
"qrlabelr",1024596200,1024.5962
"qrlabelr",1035590500,1035.5905
"qrlabelr",1077066500,1077.0665
"baRcodeR",64903593800,64903.5938
"qrlabelr",1068040000,1068.04
"baRcodeR",65355823900,65355.8239
"qrlabelr",1036141100,1036.1411
"qrlabelr",1040311900,1040.3119
"qrlabelr",1153266200,1153.2662
"qrlabelr",1049179100,1049.1791
"qrlabelr",1036198300,1036.1983
"baRcodeR",65229277200,65229.2772
"baRcodeR",64980620400,64980.6204
"baRcodeR",64795513600,64795.5136
"baRcodeR",65891982000,65891.982
"qrlabelr",1036826000,1036.826
"baRcodeR",64866660400,64866.6604
"qrlabelr",1083548900,1083.5489
"baRcodeR",64947739600,64947.7396
"qrlabelr",1054257600,1054.2576
"qrlabelr",1053791100,1053.7911
"baRcodeR",65049486800,65049.4868
"qrlabelr",1034327900,1034.3279
"qrlabelr",1056771300,1056.7713
"baRcodeR",72554186300,72554.1863
"baRcodeR",80013789900,80013.7899
"qrlabelr",1263199200,1263.1992
"qrlabelr",1245019800,1245.0198
"qrlabelr",1348026100,1348.0261
"qrlabelr",1271174500,1271.1745
"qrlabelr",1279090400,1279.0904
"qrlabelr",1294914200,1294.9142
"qrlabelr",1259284600,1259.2846
"qrlabelr",1252248000,1252.248
"qrlabelr",1231525100,1231.5251
"baRcodeR",79499198600,79499.1986
"baRcodeR",79555448100,79555.4481
"qrlabelr",1213672400,1213.6724
"baRcodeR",77269935500,77269.9355
"baRcodeR",60018596200,60018.5962
"qrlabelr",841815600,841.8156
"baRcodeR",57800906000,57800.906
"baRcodeR",68981290000,68981.29
"qrlabelr",1141085900,1141.0859
"baRcodeR",68231160600,68231.1606
"baRcodeR",68243228100,68243.2281
"qrlabelr",1243820100,1243.8201
"qrlabelr",1060683400,1060.6834
"baRcodeR",68744750300,68744.7503
"qrlabelr",1029502600,1029.5026
"qrlabelr",1043792900,1043.7929
"qrlabelr",1036354300,1036.3543
"qrlabelr",1046708900,1046.7089
"baRcodeR",67251639100,67251.6391
"baRcodeR",65622510200,65622.5102
"baRcodeR",65156516600,65156.5166
"baRcodeR",65532338000,65532.338
"baRcodeR",68335427200,68335.4272
"qrlabelr",1039787800,1039.7878
"qrlabelr",1111981800,1111.9818
"qrlabelr",1138059100,1138.0591
"qrlabelr",1171552700,1171.5527
"baRcodeR",65484760800,65484.7608
"baRcodeR",65053071700,65053.0717
"qrlabelr",1080976000,1080.976
"qrlabelr",1029274400,1029.2744
"baRcodeR",64330864700,64330.8647
"qrlabelr",1017439500,1017.4395
"baRcodeR",65289093300,65289.0933
"qrlabelr",1082068600,1082.0686
"qrlabelr",1022994000,1022.994
"qrlabelr",1083507000,1083.507
"qrlabelr",1092736100,1092.7361
"baRcodeR",65004587800,65004.5878
"qrlabelr",1034659400,1034.6594
"baRcodeR",64742186200,64742.1862
"baRcodeR",64230700400,64230.7004
"baRcodeR",63676464500,63676.4645
